ID,RiskScore
0,33.14529017931392
1,57.395796881438706
2,30.604435365836366
3,31.60301383479817
4,35.45864455265423
5,73.1300909986253
6,31.11643013732901
7,27.649476588039853
8,31.88761190163713
9,61.8237593269085
10,51.86708041954142
11,28.964822143127535
12,48.16922170601371
13,37.554811757983245
14,52.72794760761014
15,63.03534154951016
16,26.82675794026884
17,26.94384999958786
18,67.77805467560945
19,56.946702184214914
20,76.45546473738479
21,31.541566303886633
22,65.5394456408406
23,35.646288809913926
24,55.441163398551836
25,30.315335679355016
26,33.627703846625884
27,29.47397919750751
28,55.65799167092361
29,75.79185989919874
30,32.2703524539403
31,64.5726595918692
32,32.808947350274096
33,30.401877283554292
34,36.70545364814346
35,34.499904574626186
36,67.90774079880443
37,56.937789362593634
38,46.61443252280296
39,68.46317247199654
40,64.70418788581915
41,58.28258147005496
42,75.87261952485646
43,28.38087726339549
44,46.97959995172785
45,29.559155922628726
46,35.14681542467312
47,71.35190735348627
48,30.658849967975456
49,35.01533622798416
50,61.88607675398177
51,58.86393967518733
52,52.913851469255704
53,34.13059878736799
54,31.428954443323846
55,33.707459196793494
56,74.28051570399809
57,38.348543513123744
58,42.50974154580644
59,58.178430532253955
60,74.07744805713187
61,51.05422992971688
62,28.103069518152253
63,80.48191501630582
64,29.7446379914431
65,32.17060703206092
66,57.523477178702464
67,63.35306956894311
68,37.90710700427621
69,64.94055156087323
70,39.174406888391786
71,41.13650418225824
72,48.83686738842846
73,64.18366963663581
74,56.76365522542757
75,62.01844737691097
76,67.09136541214689
77,26.855716961639295
78,50.36555729069411
79,61.60676242288964
80,68.22244517245306
81,57.37760673103691
82,57.95222540770297
83,36.34091116356878
84,69.39654668584714
85,71.28812538156667
86,59.48669606391395
87,26.835113027799196
88,55.733081119531434
89,75.93413594718632
90,31.14598911023655
91,59.83585583358489
92,34.44299427999781
93,30.135037047273194
94,38.7329859540704
95,36.81756695202003
96,35.22030041367806
97,64.62201415050217
98,33.009844434807576
99,61.74854411762962
100,33.958940855324585
101,33.21034470929138
102,70.88847375846854
103,71.58543687190446
104,30.174983686782518
105,83.63885968575812
106,69.64571268911608
107,70.00529586431159
108,35.828610782027546
109,75.2732982490332
110,49.683503415404445
111,64.6404631438057
112,79.9141636847056
113,69.35243532333749
114,64.633218053251
115,34.709357600619256
116,72.83583315106492
117,57.10762600386809
118,38.377079678991464
119,46.28422189646943
120,31.3791360855027
121,73.61894662598691
122,30.97358947835886
123,58.50512268318066
124,33.09775786988512
125,67.10204538542179
126,22.352785635286793
127,28.394728535697794
128,34.54042904129643
129,76.79660685964274
130,29.897989596507195
131,66.23337757118594
132,72.3837399095456
133,77.93414630254236
134,26.695830206941054
135,36.029906490293925
136,25.306623164088066
137,34.12612214964548
138,35.83199281684729
139,41.38854507679152
140,49.38011193651128
141,51.412406113650846
142,26.441734682377408
143,26.521061818062797
144,68.34087290032849
145,30.764288973278248
146,55.12912666057391
147,72.40947411868005
148,69.78211056262975
149,70.92849097215705
150,38.379212370756704
151,31.495237530646584
152,70.52373277372507
153,45.707470860368545
154,58.50144274090515
155,37.566810110430424
156,67.08877902429784
157,69.13164951693827
158,62.59868164489464
159,67.76676158802987
160,48.820716868253264
161,33.24684873436041
162,66.48113973890744
163,36.04043954417343
164,45.94436530779791
165,54.689022410573614
166,31.125111319742906
167,46.12027434503887
168,34.39076206921153
169,27.41781672626938
170,36.5597518636862
171,38.07588991838331
172,64.0468860098622
173,43.46353881255516
174,34.76823622227201
175,41.25377114812374
176,65.60496231372458
177,41.453327170767864
178,34.8109086806465
179,67.78598439888643
180,40.72978212361209
181,35.05598213832636
182,68.67669728013375
183,46.64180657750336
184,76.2287983579193
185,70.499607882567
186,71.11347252090707
187,66.4799810475969
188,35.28470258855633
189,23.11054874330207
190,28.64922235293743
191,73.55197738433041
192,59.561546240078954
193,31.697593294943424
194,64.3892578775281
195,29.62962021132713
196,31.248539338090914
197,63.18439926895149
198,74.91278162458744
199,35.78366442550811
200,29.013699320319553
201,60.81894526734896
202,29.95781558917747
203,33.15471212546374
204,73.89743231005255
205,62.977470946101505
206,62.016404581125414
207,52.124240670427966
208,57.12867322829316
209,71.74358390118604
210,28.43753468657836
211,28.672514214538005
212,69.88736753667034
213,66.81466281915101
214,38.914064494561075
215,58.04070467066638
216,69.80681500197089
217,75.0966592773492
218,55.84774253688714
219,31.30199159130484
220,32.8302503279936
221,33.7491219006411
222,31.898401313977317
223,59.36823693752276
224,29.493950785899486
225,67.45832945226977
226,56.17789208956022
227,31.86309054394262
228,35.82581356103257
229,38.3968918486418
230,40.44411453700139
231,54.3132617406839
232,54.80116341956057
233,60.97177924269445
234,69.7696085232294
235,40.765292896768
236,30.39879440980856
237,53.893349648381374
238,61.66074300829294
239,29.43426602342403
240,64.5488833344676
241,67.71048980979988
242,49.54270131822138
243,67.8234189789195
244,66.17028924178481
245,69.46753195907355
246,25.25296398547831
247,42.01913358250861
248,78.12742966131894
249,24.433271119231897
250,62.47174649226982
251,32.019143658113755
252,50.90948491194015
253,38.952495578945886
254,54.002938700303616
255,35.58400101667467
256,56.724041595246774
257,66.47648304817932
258,64.81035569152124
259,35.0536564832298
260,51.5289900128924
261,48.19595771315519
262,27.776919456251242
263,77.58906978301863
264,60.67896633920631
265,25.328527345410933
266,44.0367057930352
267,22.026938595246293
268,66.64550935114185
269,79.1822791296663
270,67.00386350158982
271,69.23853289555258
